,success_before,success_before,zero_shot_success_after,zero_shot_success_after,adapted_success_after,adapted_success_after,zero_shot_adaptability,zero_shot_adaptability,adapted_adaptability,adapted_adaptability,episodes_to_recover,episodes_to_recover,path_diversity,path_diversity,number_of_flow_obstacles_added,number_of_flow_obstacles_added
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
hazard_type,,,,,,,,,,,,,,,,
corridor_one,100.0,0.0,45.0,49.95796552430584,100.0,0.0,0.45,0.49957965524305853,1.0,0.0,35.208333333333336,21.374962119317093,2.3833333333333333,1.3232461570535026,1.0333333333333334,1.2017727335404278
middle_one,100.0,0.0,50.0,50.20964452534338,100.0,0.0,0.5,0.5020964452534338,1.0,0.0,32.5,12.38391475010286,2.3833333333333333,1.3232461570535026,1.0333333333333334,1.2017727335404278
middle_two,100.0,0.0,45.833333333333336,50.03500175437414,100.0,0.0,0.4583333333333333,0.5003500175437415,1.0,0.0,31.875,13.736146573514556,2.3833333333333333,1.3232461570535026,1.0333333333333334,1.2017727335404278
random_one,100.0,0.0,47.5,50.14684319429231,100.0,0.0,0.475,0.501468431942923,1.0,0.0,34.791666666666664,18.980262119898555,2.3833333333333333,1.3232461570535026,1.0333333333333334,1.2017727335404278
turn_one,100.0,0.0,49.166666666666664,50.202670479261364,100.0,0.0,0.49166666666666664,0.5020267047926136,1.0,0.0,30.833333333333332,10.618149463970438,2.3833333333333333,1.3232461570535026,1.0333333333333334,1.2017727335404278
