map_id,seed,episode,boredom,obstacle
hard,7,300,0.6666666666666667,"(4, 0)"
hard,8,300,0.6666666666666667,"(4, 0)"
hard,9,300,0.6666666666666667,"(0, 4)"
hard,10,300,0.6666666666666667,"(0, 4)"
hard,11,300,0.6666666666666667,"(4, 0)"
hard,12,300,0.6666666666666667,"(0, 4)"
hard,13,300,0.6666666666666667,"(4, 0)"
hard,14,300,0.6666666666666667,"(4, 0)"
hard,15,300,0.6666666666666667,"(4, 0)"
hard,16,300,0.6666666666666667,"(0, 4)"
hard,17,300,0.6666666666666667,"(0, 4)"
hard,18,300,0.6666666666666667,"(0, 4)"
hard,19,300,0.6666666666666667,"(0, 4)"
